ID	Gender	Age	Time	X_position	Y_position	POINT	SubChain	SubChain_Start_end_tag	SubChain_ID	iter	WGS_distance	Time_Consume	Speed	t_p_i	residual	from	to	osmid	e_i	oneway	length	highway	highway_l	SpeedKM	Overspeeding
C0000078	男	29	2020-05-01 11:52:04	113.0164676	28.21789378	SRID=4326;POINT(113.01646759557305 28.2178937760431)	1	0	C0000078.1	1.0	11.168496381970188	5.0	2.233699276394038	4	13.899459488346707	1958524950	1958524623	185284700	7312	0	102.8	['residential']	1.0	8.041317395018536	0
C0000078	男	29	2020-05-01 11:52:14	113.01648954	28.21761471	SRID=4326;POINT(113.01648954164457 28.217614710285527)	1	0	C0000078.1	2.0	13.57578113696334	5.0	2.715156227392668	6	8.450691104852705	1958524841	1958524686	185284717	7330	0	85.75200000000001	['residential']	1.0	9.774562418613606	0
C0000078	男	29	2020-05-01 11:52:34	113.01753991	28.21717573	SRID=4326;POINT(113.01753991132748 28.217175729274093)	1	0	C0000078.1	3.0	27.03545688332778	5.0	5.407091376665557	10	5.922847091088372	6302294536	1958524716	185284695	7337	0	60.196000000000005	['residential']	1.0	19.465528955996007	0
C0000078	男	29	2020-05-01 11:52:39	113.01751602	28.21687379	SRID=4326;POINT(113.01751601927415 28.216873792857903)	1	0	C0000078.1	3.0	33.54396198574832	5.0	6.7087923971496615	11	8.80372940925283	6302294536	1958524716	185284695	7337	0	60.196000000000005	['residential']	1.0	24.15165262973878	1
C0000078	男	29	2020-05-01 11:52:44	113.01750508	28.21658182	SRID=4326;POINT(113.01750508133223 28.216581819912644)	1	0	C0000078.1	4.0	32.37479462125972	5.0	6.4749589242519425	12	11.295192801654153	6302294536	1958524590	185284695	7297	0	77.98899999999999	['residential']	1.0	23.309852127306993	1
C0000078	男	29	2020-05-01 11:52:49	113.01759479	28.21628156	SRID=4326;POINT(113.01759479390233 28.216281562643125)	1	0	C0000078.1	5.0	34.421271511789215	5.0	6.884254302357844	13	33.961210815865364	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	24.78331548848824	1
C0000078	男	29	2020-05-01 11:52:54	113.01763168	28.21608146	SRID=4326;POINT(113.01763168206746 28.216081455824295)	1	0	C0000078.1	6.0	22.469406556609012	5.0	4.493881311321801	14	14.761137066850784	6302294536	1958524590	185284695	7297	0	77.98899999999999	['residential']	1.0	16.177972720758486	0
C0000078	男	29	2020-05-01 11:52:59	113.01762272	28.21600648	SRID=4326;POINT(113.01762271939494 28.216006480075816)	1	0	C0000078.1	6.0	8.355925114438588	5.0	1.6711850228877174	15	9.217566481741027	6302294536	1958524590	185284695	7297	0	77.98899999999999	['residential']	1.0	6.0162660823957825	0
C0000078	男	29	2020-05-01 11:53:04	113.01773932	28.21591815	SRID=4326;POINT(113.0177393213388 28.2159181499957)	1	0	C0000078.1	7.0	15.061086520004231	5.0	3.0122173040008464	16	9.345543491516649	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	10.843982294403048	0
C0000078	男	29	2020-05-01 11:53:09	113.01797749999999	28.21589848	SRID=4326;POINT(113.01797749598111 28.215898478808)	1	0	C0000078.1	7.0	23.482367150443732	5.0	4.696473430088746	17	13.046365133849045	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	16.907304348319485	0
